"Nome Lavoura","Ano","Sigla Região Geográfica IBGE","Sigla UF IBGE","Nome Mesorregião","Nome Microrregião","Nome Município IBGE","Área Colhida","Qtd.Produzida","Valor Produção (Moeda em Real)"
"Soja (em grão)","2000","S","PR","Centro-Sul Paranaense","Pitanga","Mato Rico","1,5","3,72","1027"
"Soja (em grão)","1999","S","PR","Sudoeste Paranaense","Francisco Beltrão","Barracão","0,3","0,69","172"
"Soja (em grão)","2017","S","SC","Serrana","Curitibanos","Campos Novos","60,5","254,1","274428"
"Soja (em grão)","2014","S","PR","Norte Central Paranaense","Ivaiporã","Nova Tebas","7,5","23,25","23134"
"Soja (em grão)","2012","S","SC","Vale do Itajaí","Ituporanga","Ituporanga","1","3,6","2988"
"Soja (em grão)","2010","S","RS","Sudoeste Rio-grandense","Campanha Ocidental","Maçambará","18,05","37,905","20605"
"Soja (em grão)","2011","S","SC","Oeste Catarinense","Chapecó","Cunha Porã","3","9,45","6615"
"Soja (em grão)","1999","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Arroio do Meio","1,4","2,268","531"
"Soja (em grão)","2000","S","RS","Metropolitana de Porto Alegre","Osório","Maquiné","","",""
"Soja (em grão)","2011","S","PR","Norte Pioneiro Paranaense","Wenceslau Braz","Tomazina","3,2","11,072","7540"
"Soja (em grão)","2001","S","RS","Nordeste Rio-grandense","Caxias do Sul","Antônio Prado","","",""
"Soja (em grão)","2017","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Taquaruçu do Sul","2,4","7,224","6647"
"Soja (em grão)","2005","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Palmitinho","1,8","0,713","334"
"Soja (em grão)","1995","S","RS","Nordeste Rio-grandense","Guaporé","Protásio Alves","0,06","0,108","16"
"Soja (em grão)","1993","S","SC","Oeste Catarinense","Chapecó","Novo Horizonte","0,13","0,117","0,410545454545455"
"Soja (em grão)","2000","S","SC","Oeste Catarinense","Chapecó","Águas Frias","0,13","0,156","41"
"Soja (em grão)","2001","S","PR","Centro-Sul Paranaense","Palmas","Coronel Domingos Soares","4,8","14,88","4464"
"Soja (em grão)","2017","S","PR","Oeste Paranaense","Cascavel","Cascavel","92","358,8","380328"
"Soja (em grão)","2008","S","SC","Oeste Catarinense","Chapecó","Águas de Chapecó","0,9","1,62","1076"
"Soja (em grão)","1996","S","RS","Centro Oriental Rio-grandense","Cachoeira do Sul","Novo Cabrais","","",""
"Soja (em grão)","2009","S","SC","Grande Florianópolis","Florianópolis","Biguaçu","","",""
"Soja (em grão)","1993","S","RS","Nordeste Rio-grandense","Vacaria","Capão Bonito do Sul","","",""
"Soja (em grão)","2006","S","PR","Norte Central Paranaense","Astorga","Nova Esperança","3,5","7,875","3150"
"Soja (em grão)","2011","S","RS","Noroeste Rio-grandense","Passo Fundo","Nicolau Vergueiro","10,4","34,32","23127"
"Soja (em grão)","1993","S","SC","Oeste Catarinense","São Miguel do Oeste","Princesa","","",""
"Soja (em grão)","1990","S","RS","Centro Ocidental Rio-grandense","Santa Maria","São Martinho da Serra","","",""
"Soja (em grão)","2001","S","RS","Metropolitana de Porto Alegre","São Jerônimo","Minas do Leão","","",""
"Soja (em grão)","2009","S","SC","Norte Catarinense","Joinville","Joinville","","",""
"Soja (em grão)","2010","S","SC","Oeste Catarinense","Chapecó","Palmitos","3,5","7,35","3917"
"Soja (em grão)","1996","S","RS","Noroeste Rio-grandense","Santa Rosa","Alecrim","7,21","9,377","2178"
"Soja (em grão)","2015","S","PR","Norte Pioneiro Paranaense","Wenceslau Braz","São José da Boa Vista","15,5","52,7","49819"
"Soja (em grão)","1995","S","PR","Centro Ocidental Paranaense","Goioerê","Campina da Lagoa","17,05","50,635","7342"
"Soja (em grão)","1990","S","SC","Serrana","Campos de Lages","Palmeira","","",""
"Soja (em grão)","1990","S","RS","Metropolitana de Porto Alegre","Osório","Itati","","",""
"Soja (em grão)","2017","S","RS","Noroeste Rio-grandense","Erechim","Erebango","9,4","33,84","30997"
"Soja (em grão)","1998","S","SC","Vale do Itajaí","Ituporanga","Agrolândia","","",""
"Soja (em grão)","2001","S","SC","Oeste Catarinense","Joaçaba","Fraiburgo","","",""
"Soja (em grão)","2012","S","RS","Metropolitana de Porto Alegre","Gramado-Canela","Gramado","","",""
"Soja (em grão)","1990","S","PR","Oeste Paranaense","Toledo","Guaíra","19","45,22","0,113724363636364"
"Soja (em grão)","2005","S","PR","Norte Pioneiro Paranaense","Wenceslau Braz","Guapirama","2","5,12","2688"
"Soja (em grão)","2018","S","PR","Sudoeste Paranaense","Francisco Beltrão","Francisco Beltrão","17","64,6",""
"Soja (em grão)","1991","S","PR","Oeste Paranaense","Toledo","Formosa do Oeste","8,5","13,269","0,188979636363636"
"Soja (em grão)","2009","S","SC","Serrana","Campos de Lages","Correia Pinto","0,3","0,75","525"
"Soja (em grão)","2007","S","RS","Sudoeste Rio-grandense","Campanha Ocidental","São Francisco de Assis","20","39,6","17147"
"Soja (em grão)","1996","S","RS","Noroeste Rio-grandense","Soledade","Ibirapuitã","5,9","8,26","2024"
"Soja (em grão)","2012","S","SC","Vale do Itajaí","Itajaí","Bombinhas","","",""
"Soja (em grão)","2017","S","PR","Oeste Paranaense","Toledo","Terra Roxa","52,325","183,138","193760"
"Soja (em grão)","2010","S","RS","Sudeste Rio-grandense","Jaguarão","Herval","2","4,2","2730"
"Soja (em grão)","1994","S","PR","Sudeste Paranaense","Irati","Rio Azul","0,5","1,25","213"
"Soja (em grão)","1990","S","RS","Nordeste Rio-grandense","Guaporé","São Valentim do Sul","","",""
"Soja (em grão)","2006","S","SC","Oeste Catarinense","Joaçaba","Iomerê","","",""
"Soja (em grão)","2011","S","PR","Centro-Sul Paranaense","Guarapuava","Candói","37,4","125,76","88032"
"Soja (em grão)","2018","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Nova Hartz","0,01","0,028",""
"Soja (em grão)","2013","S","RS","Noroeste Rio-grandense","Erechim","Viadutos","5,8","16,008","14623"
"Soja (em grão)","2006","S","PR","Sudeste Paranaense","Irati","Irati","10","25,5","11220"
"Soja (em grão)","1993","S","PR","Norte Pioneiro Paranaense","Cornélio Procópio","Abatiá","0,03","0,047","0,225454545454545"
"Soja (em grão)","2017","S","SC","Serrana","Curitibanos","Curitibanos","15,8","56,88","56880"
"Soja (em grão)","1991","S","SC","Oeste Catarinense","Concórdia","Xavantina","2","1,28","0,0319861818181818"
"Soja (em grão)","2004","S","SC","Oeste Catarinense","Chapecó","Bom Jesus do Oeste","1,04","1,435","1196"
"Soja (em grão)","1998","S","PR","Sudeste Paranaense","Irati","Rebouças","3,625","8,7","1853"
"Soja (em grão)","1991","S","PR","Oeste Paranaense","Foz do Iguaçu","Céu Azul","7,95","14,708","0,192541090909091"
"Soja (em grão)","2016","S","PR","Sudeste Paranaense","Irati","Rio Azul","16,55","51,513","59164"
"Soja (em grão)","1992","S","RS","Noroeste Rio-grandense","Não-Me-Toque","Colorado","16,85","51,308","11,0192232727273"
"Soja (em grão)","1998","S","RS","Centro Ocidental Rio-grandense","Santiago","Capão do Cipó","","",""
"Soja (em grão)","1991","S","RS","Sudeste Rio-grandense","Litoral Lagunar","São José do Norte","","",""
"Soja (em grão)","1994","S","PR","Centro-Sul Paranaense","Palmas","Mangueirinha","22,2","57,72","10390"
"Soja (em grão)","2018","S","SC","Vale do Itajaí","Blumenau","Guabiruba","","",""
"Soja (em grão)","2005","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Arroio do Meio","1,45","0,974","490"
"Soja (em grão)","1992","S","PR","Sudoeste Paranaense","Francisco Beltrão","Salgado Filho","0,02","0,036","0,00887563636363636"
"Soja (em grão)","1999","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Palmitinho","2","1,8","460"
"Soja (em grão)","2014","S","RS","Centro Ocidental Rio-grandense","Santa Maria","Nova Esperança do Sul","3,2","7,68","8049"
"Soja (em grão)","2005","S","PR","Sudoeste Paranaense","Francisco Beltrão","Barracão","0,8","0,96","466"
"Soja (em grão)","1996","S","RS","Metropolitana de Porto Alegre","Osório","Morrinhos do Sul","","",""
"Soja (em grão)","2007","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Iraí","3,2","8,064","3847"
"Soja (em grão)","1995","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Sertão Santana","","",""
"Soja (em grão)","2012","S","RS","Metropolitana de Porto Alegre","Montenegro","São Pedro da Serra","","",""
"Soja (em grão)","1993","S","SC","Grande Florianópolis","Tijucas","São João Batista","","",""
"Soja (em grão)","2006","S","RS","Sudeste Rio-grandense","Pelotas","Morro Redondo","0,02","0,02","6"
"Soja (em grão)","1998","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Coqueiro Baixo","","",""
"Soja (em grão)","1995","S","PR","Noroeste Paranaense","Umuarama","Francisco Alves","0,85","1,61","250"
"Soja (em grão)","1996","S","PR","Norte Pioneiro Paranaense","Ibaiti","Conselheiro Mairinck","","",""
"Soja (em grão)","1996","S","PR","Sudoeste Paranaense","Francisco Beltrão","São Jorge d'Oeste","0,25","0,7","149"
"Soja (em grão)","2016","S","PR","Centro-Sul Paranaense","Palmas","Mangueirinha","42,25","161,962","175569"
"Soja (em grão)","2014","S","PR","Noroeste Paranaense","Umuarama","Ivaté","0,07","0,12","128"
"Soja (em grão)","2011","S","PR","Noroeste Paranaense","Paranavaí","Paraíso do Norte","2,1","6,51","4796"
"Soja (em grão)","2009","S","SC","Oeste Catarinense","Concórdia","Arabutã","","",""
"Soja (em grão)","1994","S","RS","Metropolitana de Porto Alegre","Gramado-Canela","Igrejinha","","",""
"Soja (em grão)","1993","S","RS","Noroeste Rio-grandense","Santa Rosa","Novo Machado","15","31,56","103,057818181818"
"Soja (em grão)","2012","S","PR","Noroeste Paranaense","Umuarama","Icaraíma","0,49","0,284","212"
"Soja (em grão)","2012","S","PR","Norte Pioneiro Paranaense","Assaí","São Sebastião da Amoreira","12,5","36,25","28978"
"Soja (em grão)","1993","S","RS","Sudoeste Rio-grandense","Campanha Ocidental","Barra do Quaraí","","",""
"Soja (em grão)","2002","S","SC","Oeste Catarinense","São Miguel do Oeste","Bandeirante","0,01","0,012","5"
"Soja (em grão)","1997","S","RS","Noroeste Rio-grandense","Cerro Largo","Mato Queimado","","",""
"Soja (em grão)","2012","S","RS","Noroeste Rio-grandense","Ijuí","Augusto Pestana","18","15,12","12260"
"Soja (em grão)","1991","S","PR","Sudeste Paranaense","União da Vitória","União da Vitória","0,15","0,26","0,00468"
"Soja (em grão)","1992","S","RS","Noroeste Rio-grandense","Passo Fundo","Vila Lângaro","","",""
"Soja (em grão)","2006","S","RS","Noroeste Rio-grandense","Carazinho","Sarandi","15","36","17100"
"Soja (em grão)","2016","S","RS","Metropolitana de Porto Alegre","Gramado-Canela","Igrejinha","0,015","0,036","44"
"Soja (em grão)","2004","S","SC","Sul Catarinense","Tubarão","Orleans","","",""
"Soja (em grão)","2012","S","RS","Sudoeste Rio-grandense","Campanha Central","Santa Margarida do Sul","22","15,84","14779"
"Soja (em grão)","2006","S","SC","Vale do Itajaí","Blumenau","Brusque","","",""
"Soja (em grão)","2007","S","RS","Noroeste Rio-grandense","Erechim","Carlos Gomes","1,8","3,496","1681"
"Soja (em grão)","1994","S","RS","Metropolitana de Porto Alegre","Montenegro","Bom Princípio","0,01","0,011","2"
"Soja (em grão)","1996","S","SC","Oeste Catarinense","Chapecó","Sul Brasil","0,11","0,108","25"
"Soja (em grão)","2001","S","RS","Metropolitana de Porto Alegre","Osório","Três Forquilhas","","",""
"Soja (em grão)","2000","S","SC","Oeste Catarinense","Xanxerê","Ouro Verde","7","16,8","4786"
"Soja (em grão)","2016","S","PR","Norte Central Paranaense","Porecatu","Prado Ferreira","8,38","19,609","20844"
"Soja (em grão)","2013","S","PR","Centro Ocidental Paranaense","Campo Mourão","Quinta do Sol","19,02","63,118","55719"
"Soja (em grão)","1990","S","PR","Centro-Sul Paranaense","Guarapuava","Turvo","1,5","2,7","0,00932727272727273"
"Soja (em grão)","2016","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Novo Tiradentes","1,96","6,468","8622"
"Soja (em grão)","1990","S","SC","Oeste Catarinense","São Miguel do Oeste","Santa Helena","","",""
"Soja (em grão)","1996","S","RS","Nordeste Rio-grandense","Vacaria","Campestre da Serra","0,736","1,313","291"
"Soja (em grão)","1994","S","PR","Norte Central Paranaense","Porecatu","Prado Ferreira","","",""
"Soja (em grão)","2009","S","SC","Serrana","Campos de Lages","Bocaina do Sul","0,1","0,192","134"
"Soja (em grão)","1994","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Novo Tiradentes","5,1","8,16","669"
"Soja (em grão)","2003","S","RS","Metropolitana de Porto Alegre","Montenegro","Pareci Novo","","",""
"Soja (em grão)","1999","S","PR","Norte Pioneiro Paranaense","Wenceslau Braz","Guapirama","0,2","0,5","125"
"Soja (em grão)","2011","S","RS","Centro Ocidental Rio-grandense","Restinga Seca","Nova Palma","4,5","13,5","9450"
"Soja (em grão)","2003","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Cruzeiro do Sul","2,8","7,56","4247"
"Soja (em grão)","2018","S","PR","Sudeste Paranaense","União da Vitória","Porto Vitória","0,4","1,12",""
"Soja (em grão)","2016","S","RS","Metropolitana de Porto Alegre","Montenegro","Bom Princípio","","",""
"Soja (em grão)","2000","S","PR","Oeste Paranaense","Toledo","São José das Palmeiras","1,5","2,79","770"
"Soja (em grão)","2014","S","SC","Serrana","Curitibanos","Frei Rogério","2","6,6","6996"
"Soja (em grão)","1996","S","PR","Norte Central Paranaense","Apucarana","Califórnia","0,15","0,375","79"
"Soja (em grão)","2010","S","SC","Oeste Catarinense","Concórdia","Alto Bela Vista","0,13","0,351","245"
"Soja (em grão)","1991","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Eldorado do Sul","","",""
"Soja (em grão)","2006","S","PR","Norte Pioneiro Paranaense","Wenceslau Braz","Joaquim Távora","0,165","0,412","175"
"Soja (em grão)","2006","S","PR","Norte Pioneiro Paranaense","Cornélio Procópio","Santa Amélia","3,1","6,138","2639"
"Soja (em grão)","1995","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Colinas","0,8","1,44","209"
"Soja (em grão)","2006","S","RS","Noroeste Rio-grandense","Ijuí","São Valério do Sul","6,3","6,048","2220"
"Soja (em grão)","1993","S","RS","Metropolitana de Porto Alegre","Osório","Cidreira","","",""
"Soja (em grão)","2000","S","RS","Centro Ocidental Rio-grandense","Santiago","Unistalda","2,1","2,478","700"
"Soja (em grão)","2008","S","SC","Vale do Itajaí","Ituporanga","Atalanta","","",""
"Soja (em grão)","2006","S","PR","Noroeste Paranaense","Umuarama","Ivaté","0,2","0,3","132"
"Soja (em grão)","1999","S","RS","Sudoeste Rio-grandense","Campanha Central","Santa Margarida do Sul","","",""
"Soja (em grão)","2016","S","PR","Sudoeste Paranaense","Francisco Beltrão","Francisco Beltrão","18","57","63539"
"Soja (em grão)","2002","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Erval Seco","14,5","17,4","6090"
"Soja (em grão)","1999","S","RS","Noroeste Rio-grandense","Ijuí","Augusto Pestana","21","31,5","9104"
"Soja (em grão)","2014","S","RS","Sudeste Rio-grandense","Pelotas","Morro Redondo","0,6","1,62","1701"
"Soja (em grão)","2003","S","RS","Nordeste Rio-grandense","Guaporé","União da Serra","0,16","0,288","146"
"Soja (em grão)","1991","S","PR","Norte Central Paranaense","Astorga","Astorga","7,05","15,042","0,299926545454545"
"Soja (em grão)","2001","S","PR","Norte Central Paranaense","Astorga","Jaguapitã","3,7","10,434","3130"
"Soja (em grão)","1999","S","PR","Norte Pioneiro Paranaense","Assaí","São Sebastião da Amoreira","9","25,2","6275"
"Soja (em grão)","1991","S","RS","Nordeste Rio-grandense","Guaporé","São Jorge","0,1","0,054","0,000852363636363636"
"Soja (em grão)","2003","S","PR","Norte Pioneiro Paranaense","Cornélio Procópio","Cornélio Procópio","25,5","68,85","40277"
"Soja (em grão)","2006","S","RS","Centro Ocidental Rio-grandense","Santa Maria","Nova Esperança do Sul","3,7","8,88","3286"
"Soja (em grão)","1995","S","PR","Sudoeste Paranaense","Pato Branco","Saudade do Iguaçu","1,78","4,628","648"
"Soja (em grão)","1994","S","PR","Sudoeste Paranaense","Francisco Beltrão","Francisco Beltrão","3","7,2","1260"
"Soja (em grão)","1999","S","PR","Noroeste Paranaense","Umuarama","Icaraíma","1,211","2,464","614"
"Soja (em grão)","2004","S","PR","Centro-Sul Paranaense","Guarapuava","Laranjeiras do Sul","10,09","24,551","16768"
"Soja (em grão)","1992","S","PR","Metropolitana de Curitiba","Curitiba","Campo Magro","","",""
"Soja (em grão)","1994","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Nova Hartz","","",""
"Soja (em grão)","2014","S","SC","Vale do Itajaí","Blumenau","Brusque","","",""
"Soja (em grão)","1992","S","SC","Vale do Itajaí","Rio do Sul","Presidente Getúlio","","",""
"Soja (em grão)","2009","S","PR","Centro Ocidental Paranaense","Campo Mourão","Luiziana","41,2","103,326","76389"
"Soja (em grão)","2017","S","SC","Serrana","Curitibanos","São Cristovão do Sul","0,27","0,972","972"
"Soja (em grão)","2007","S","RS","Noroeste Rio-grandense","Erechim","Paulo Bento","7","20,58","9940"
"Soja (em grão)","2014","S","RS","Noroeste Rio-grandense","Carazinho","Sarandi","16,3","44,01","48778"
"Soja (em grão)","1997","S","SC","Oeste Catarinense","Chapecó","Iraceminha","0,25","0,45","123"
"Soja (em grão)","1999","S","RS","Metropolitana de Porto Alegre","Montenegro","São Pedro da Serra","","",""
"Soja (em grão)","1992","S","PR","Norte Central Paranaense","Londrina","Pitangueiras","","",""
"Soja (em grão)","2010","S","RS","Centro Ocidental Rio-grandense","Santa Maria","Itaara","2,4","7,488","4778"
"Soja (em grão)","2018","S","PR","Sudeste Paranaense","Irati","Rio Azul","16","52",""
"Soja (em grão)","2013","S","SC","Sul Catarinense","Criciúma","Balneário Rincão","","",""
"Soja (em grão)","1993","S","RS","Metropolitana de Porto Alegre","Porto Alegre","São Leopoldo","0,004","0,004","0,0265454545454545"
"Soja (em grão)","2005","S","SC","Vale do Itajaí","Ituporanga","Ituporanga","0,25","0,5","200"
"Soja (em grão)","2016","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Nova Hartz","","",""
"Soja (em grão)","2003","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Porto Alegre","","",""
"Soja (em grão)","2012","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Palmitinho","0,9","0,972","866"
"Soja (em grão)","2000","S","RS","Noroeste Rio-grandense","Passo Fundo","Caseiros","5","12","4080"
"Soja (em grão)","2006","S","SC","Serrana","Curitibanos","Frei Rogério","0,8","1,536","507"
"Soja (em grão)","2017","S","SC","Vale do Itajaí","Itajaí","Balneário Piçarras","","",""
"Soja (em grão)","2007","S","RS","Sudoeste Rio-grandense","Campanha Ocidental","São Borja","40","60","25800"
"Soja (em grão)","1997","S","RS","Metropolitana de Porto Alegre","Osório","Palmares do Sul","","",""
"Soja (em grão)","1998","S","RS","Nordeste Rio-grandense","Vacaria","Monte Alegre dos Campos","0,15","0,36","78"
"Soja (em grão)","1991","S","SC","Oeste Catarinense","Xanxerê","Ponte Serrada","4","3,6","0,0842858181818182"
"Soja (em grão)","2009","S","SC","Sul Catarinense","Araranguá","Ermo","","",""
"Soja (em grão)","2015","S","RS","Noroeste Rio-grandense","Passo Fundo","Ibiraiaras","9","35,1","35229"
"Soja (em grão)","2011","S","SC","Sul Catarinense","Araranguá","Sombrio","","",""
"Soja (em grão)","2009","S","SC","Oeste Catarinense","Xanxerê","Lajeado Grande","1,7","4,59","3286"
"Soja (em grão)","1997","S","RS","Metropolitana de Porto Alegre","Gramado-Canela","Santa Maria do Herval","","",""
"Soja (em grão)","2007","S","PR","Centro-Sul Paranaense","Guarapuava","Campina do Simão","7,5","18,2","8554"
"Soja (em grão)","1995","S","SC","Norte Catarinense","Canoinhas","Major Vieira","1,6","3,84","576"
"Soja (em grão)","1997","S","SC","Vale do Itajaí","Rio do Sul","Mirim Doce","","",""
"Soja (em grão)","2013","S","RS","Noroeste Rio-grandense","Carazinho","Jaboticaba","4,7","11,5","10666"
"Soja (em grão)","2013","S","RS","Noroeste Rio-grandense","Santo Ângelo","Santo Antônio das Missões","30,89","71,07","63533"
"Soja (em grão)","2017","S","PR","Noroeste Paranaense","Cianorte","Japurá","9,05","31,675","29901"
"Soja (em grão)","2014","S","RS","Noroeste Rio-grandense","Ijuí","São Valério do Sul","6,4","17,28","18248"
"Soja (em grão)","1995","S","RS","Metropolitana de Porto Alegre","Osório","Torres","","",""
"Soja (em grão)","2012","S","PR","Norte Pioneiro Paranaense","Wenceslau Braz","Guapirama","5","14,735","12525"
"Soja (em grão)","2017","S","SC","Vale do Itajaí","Blumenau","Timbó","","",""
"Soja (em grão)","2007","S","PR","Oeste Paranaense","Toledo","Toledo","66,1","206,049","98904"
"Soja (em grão)","2005","S","RS","Metropolitana de Porto Alegre","Gramado-Canela","Gramado","","",""
"Soja (em grão)","2009","S","RS","Centro Oriental Rio-grandense","Santa Cruz do Sul","Sinimbu","","",""
"Soja (em grão)","2014","S","PR","Norte Pioneiro Paranaense","Cornélio Procópio","Santa Amélia","5,57","8,021","8310"
"Soja (em grão)","1995","S","PR","Centro Oriental Paranaense","Telêmaco Borba","Ventania","15,5","41,85","6278"
"Soja (em grão)","2001","S","PR","Noroeste Paranaense","Umuarama","Douradina","0,1","0,2","52"
"Soja (em grão)","2014","S","PR","Norte Pioneiro Paranaense","Wenceslau Braz","Joaquim Távora","1,5","2,974","3081"
"Soja (em grão)","1995","S","RS","Noroeste Rio-grandense","Ijuí","Coronel Bicaco","33","59,4","9282"
"Soja (em grão)","1993","S","PR","Centro-Sul Paranaense","Guarapuava","Guarapuava","36,5","91,25","428,709090909091"
"Soja (em grão)","1990","S","SC","Oeste Catarinense","Joaçaba","Herval d'Oeste","0,01","0,012","0,000048"
"Soja (em grão)","2005","S","SC","Vale do Itajaí","Itajaí","Bombinhas","","",""
"Soja (em grão)","2004","S","PR","Metropolitana de Curitiba","Curitiba","Curitiba","","",""
"Soja (em grão)","2003","S","PR","Sudoeste Paranaense","Capanema","Realeza","14,8","43,98","26388"
"Soja (em grão)","1990","S","RS","Noroeste Rio-grandense","Passo Fundo","Pontão","","",""
"Soja (em grão)","2000","S","SC","Norte Catarinense","São Bento do Sul","Campo Alegre","0,1","0,27","73"
"Soja (em grão)","2003","S","PR","Noroeste Paranaense","Umuarama","Pérola","0,37","1,11","644"
"Soja (em grão)","2005","S","PR","Noroeste Paranaense","Umuarama","Icaraíma","1,94","3,104","1490"
"Soja (em grão)","2008","S","PR","Norte Central Paranaense","Ivaiporã","Rosário do Ivaí","0,15","0,42","329"
"Soja (em grão)","1990","S","PR","Sudeste Paranaense","São Mateus do Sul","São Mateus do Sul","5","9,3","0,0338181818181818"
"Soja (em grão)","2005","S","PR","Norte Pioneiro Paranaense","Assaí","São Sebastião da Amoreira","13","32,24","15314"
"Soja (em grão)","2001","S","SC","Oeste Catarinense","Joaçaba","Lacerdópolis","","",""
"Soja (em grão)","2016","S","PR","Sudeste Paranaense","União da Vitória","Porto Vitória","0,4","1,04","1173"
"Soja (em grão)","2006","S","PR","Norte Central Paranaense","Ivaiporã","Nova Tebas","1,9","4,75","1853"
"Soja (em grão)","2018","S","RS","Metropolitana de Porto Alegre","Montenegro","Bom Princípio","","",""
"Soja (em grão)","2005","S","RS","Noroeste Rio-grandense","Ijuí","Augusto Pestana","18,5","7,77","3732"
"Soja (em grão)","2008","S","RS","Centro Ocidental Rio-grandense","Santa Maria","Jaguari","4,9","6,174","3798"
"Soja (em grão)","1994","S","PR","Sudeste Paranaense","União da Vitória","Porto Vitória","","",""
"Soja (em grão)","2002","S","PR","Oeste Paranaense","Toledo","Mercedes","6,8","21,76","9139"
"Soja (em grão)","1997","S","PR","Norte Pioneiro Paranaense","Cornélio Procópio","Congonhinhas","5","9,9","2673"
"Soja (em grão)","2018","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Novo Tiradentes","2,4","7,92",""
"Soja (em grão)","2003","S","RS","Sudeste Rio-grandense","Litoral Lagunar","Chuí","","",""
"Soja (em grão)","2017","S","RS","Metropolitana de Porto Alegre","Montenegro","São José do Sul","","",""
"Soja (em grão)","1990","S","PR","Centro-Sul Paranaense","Guarapuava","Goioxim","","",""
"Soja (em grão)","2005","S","RS","Sudoeste Rio-grandense","Campanha Central","Santa Margarida do Sul","20","16,8","7503"
"Soja (em grão)","2018","S","PR","Norte Central Paranaense","Porecatu","Prado Ferreira","8,44","29,54",""
"Soja (em grão)","2010","S","RS","Noroeste Rio-grandense","Passo Fundo","Vila Maria","6","19,8","10791"
"Soja (em grão)","2012","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Arroio do Meio","1","1,44","1267"
"Soja (em grão)","2000","S","RS","Noroeste Rio-grandense","Cruz Alta","Boa Vista do Incra","","",""
"Soja (em grão)","2014","S","PR","Norte Central Paranaense","Astorga","Nova Esperança","3,185","7,007","7469"
"Soja (em grão)","1998","S","PR","Noroeste Paranaense","Paranavaí","Tamboara","0,1","0,23","49"
"Soja (em grão)","1998","S","RS","Noroeste Rio-grandense","Erechim","Itatiba do Sul","1,65","2,095","457"
"Soja (em grão)","2000","S","RS","Nordeste Rio-grandense","Guaporé","Nova Alvorada","1,5","2,764","849"
"Soja (em grão)","2012","S","PR","Sudoeste Paranaense","Francisco Beltrão","Barracão","1,4","2,8","2260"
"Soja (em grão)","1999","S","SC","Vale do Itajaí","Ituporanga","Ituporanga","","",""
"Soja (em grão)","2002","S","RS","Metropolitana de Porto Alegre","Camaquã","Barra do Ribeiro","0,07","0,109","44"
"Soja (em grão)","2015","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Cachoeirinha","","",""
"Soja (em grão)","2005","S","RS","Metropolitana de Porto Alegre","Montenegro","São Pedro da Serra","","",""
"Soja (em grão)","2004","S","PR","Noroeste Paranaense","Paranavaí","Paranavaí","1,5","1,5","1200"
"Soja (em grão)","1997","S","RS","Metropolitana de Porto Alegre","Osório","Santo Antônio da Patrulha","0,6","1,08","281"
"Soja (em grão)","1991","S","SC","Norte Catarinense","Joinville","Massaranduba","","",""
"Soja (em grão)","2009","S","SC","Norte Catarinense","Canoinhas","Papanduva","9,6","25,92","18144"
"Soja (em grão)","2015","S","PR","Oeste Paranaense","Toledo","Nova Santa Rosa","13,86","47,83","45212"
"Soja (em grão)","2009","S","PR","Centro-Sul Paranaense","Guarapuava","Virmond","3,75","9,375","7406"
"Soja (em grão)","1994","S","SC","Vale do Itajaí","Blumenau","Guabiruba","","",""
"Soja (em grão)","2010","S","SC","Vale do Itajaí","Itajaí","Penha","","",""
"Soja (em grão)","2018","S","PR","Centro-Sul Paranaense","Palmas","Mangueirinha","43,5","167,04",""
"Soja (em grão)","1997","S","PR","Norte Central Paranaense","Faxinal","Cruzmaltina","5,3","14,469","3617"
"Soja (em grão)","1995","S","PR","Sudoeste Paranaense","Capanema","Pérola d'Oeste","6,5","16,25","2275"
"Soja (em grão)","1993","S","SC","Vale do Itajaí","Blumenau","Blumenau","","",""
"Soja (em grão)","2017","S","RS","Centro Ocidental Rio-grandense","Santiago","Santiago","45,48","157,464","143513"
"Soja (em grão)","2015","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Pouso Novo","0,012","0,036","40"
"Soja (em grão)","1992","S","SC","Serrana","Campos de Lages","Urupema","","",""
"Soja (em grão)","2016","S","SC","Vale do Itajaí","Blumenau","Guabiruba","","",""
